Topic_Year,Citation_feature,Topic_num,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Growth_Rate,Target,Avg_SJR_1,Avg_SJR_2,Avg_SJR_3,Sum_SJR_1,Sum_SJR_2,Sum_SJR_3,Review_AMT
0_1996,0.006167641325536063,25.0,0.33858267716535434,0.46236559139784944,0.0,0.0,1996,0,,,,,,,,,,,3.0
0_1997,0.002142022984440223,43.0,0.23448275862068965,0.3333333333333333,0.0,0.0,1997,0,0.72,-0.6526998132054886,0.1802721088435375,0.5397278911564625,0.0,,,0.0,,,1.0
0_1998,0.003411393210579361,34.0,0.22560975609756098,0.32456140350877194,0.0,0.0,1998,0,-0.2093023255813954,0.5926034572737622,0.0835734870317002,-0.2928758126130956,0.0,0.0,,0.0,0.0,,4.0
0_1999,0.003359766952581324,37.0,0.22346368715083798,0.36036036036036034,37.14000000000001,0.9285000000000002,1999,0,0.08823529411764697,-0.015133482073521831,0.1914893617021276,-0.10325406758448064,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0_2000,0.0018646599900403917,40.0,0.20618556701030927,0.3418803418803419,45.009,1.125225,2000,0,0.08108108108108114,-0.44500317541138823,0.1004464285714286,-0.019365347490347462,0.9285000000000002,0.0,0.0,37.14000000000001,0.0,0.0,1.0
0_2001,0.003454582145649925,40.0,0.2669902912621359,0.4074074074074074,62.804,1.141890909090909,2001,0,0.0,0.8526606266567092,0.08924949290060846,-0.08924949290060846,1.125225,0.9285000000000002,0.0,45.009,37.14000000000001,0.0,3.0
0_2002,0.0022724022724022724,55.0,0.2979591836734694,0.43452380952380953,77.112,1.0563287671232875,2002,0,,,,,,,,,,,7.0
0_2003,0.0009729786104760547,73.0,0.2490974729241877,0.350253807106599,70.384,1.0200579710144928,2003,0,0.3272727272727274,-0.5718281827594419,0.21805792163543436,0.10921480563729302,1.0563287671232875,,,77.112,,,2.0
0_2004,0.0014468922456788989,69.0,0.24522292993630573,0.3515981735159817,62.657,0.8137272727272726,2004,0,-0.0547945205479452,0.4870750806854529,0.16083916083916083,-0.21563368138710604,1.0200579710144928,1.0563287671232875,,70.384,77.112,,4.0
0_2005,0.001028609072087333,77.0,0.2594594594594595,0.39669421487603307,94.64599999999999,0.9858958333333332,2005,0,0.11594202898550732,-0.2890907563025209,0.17349397590361448,-0.057551946918107166,0.8137272727272726,1.0200579710144928,1.0563287671232875,62.657,70.384,77.112,5.0
0_2006,0.0007244171636345336,96.0,0.20253164556962025,0.31620553359683795,78.86000000000001,0.9857500000000001,2006,0,0.24675324675324672,-0.29573131008412135,0.3613963039014374,-0.11464305714819067,0.9858958333333332,0.8137272727272726,1.0200579710144928,94.64599999999999,62.657,70.384,13.0
0_2007,0.0013570595374156071,80.0,0.32916666666666666,0.47305389221556887,183.86799999999997,1.1637215189873416,2007,0,-0.16666666666666663,0.8733122371189974,-0.13650075414781293,-0.0301659125188537,0.9857500000000001,0.9858958333333332,0.8137272727272726,78.86000000000001,94.64599999999999,62.657,13.0
0_2008,0.0005271409520602153,158.0,0.25,0.36533333333333334,163.01700000000002,1.1899051094890514,2008,0,0.9750000000000001,-0.6115565032142172,0.46113537117903936,0.5138646288209607,1.1637215189873416,0.9857500000000001,0.9858958333333332,183.86799999999997,78.86000000000001,94.64599999999999,14.0
0_2009,0.0007280509144411931,137.0,0.2686335403726708,0.3696581196581197,249.00899999999993,1.4393583815028899,2009,0,-0.13291139240506333,0.3811313873372293,0.10579796772265393,-0.23870936012771726,1.1899051094890514,1.1637215189873416,0.9857500000000001,163.01700000000002,183.86799999999997,78.86000000000001,10.0
0_2010,0.0005254116926004248,173.0,0.2584573748308525,0.3812375249500998,292.363,1.530696335078534,2010,0,0.2627737226277371,-0.2783311136918243,0.09297297297297291,0.16980074965476422,1.4393583815028899,1.1899051094890514,1.1637215189873416,249.00899999999993,163.01700000000002,183.86799999999997,13.0
0_2011,0.0004567201768845911,191.0,0.23638470451911936,0.3591549295774648,329.78699999999986,1.61660294117647,2011,0,0.10404624277456653,-0.1307384603031161,0.185459940652819,-0.08141369787825248,1.530696335078534,1.4393583815028899,1.1899051094890514,292.363,249.00899999999993,163.01700000000002,17.0
0_2012,0.00032956946523504156,204.0,0.24274973147153597,0.3639291465378422,291.4280000000001,1.2895044247787615,2012,0,0.0680628272251309,-0.27839959363494315,0.052148518982060965,0.01591430824306994,1.61660294117647,1.530696335078534,1.4393583815028899,329.78699999999986,292.363,249.00899999999993,20.0
0_2013,0.00028836969848034666,226.0,0.224609375,0.3484848484848485,301.7979999999997,1.3121652173913032,2013,0,0.10784313725490202,-0.1250108735811194,0.12093576526566219,-0.013092628010760166,1.2895044247787615,1.61660294117647,1.530696335078534,291.4280000000001,329.78699999999986,292.363,13.0
0_2014,0.0003938356833628851,230.0,0.24288256227758007,0.37448559670781895,396.35299999999955,1.4518424908424892,2014,0,0.017699115044247815,0.36573185545611775,0.11602405376724434,-0.09832493872299652,1.3121652173913032,1.2895044247787615,1.61660294117647,301.7979999999997,291.4280000000001,329.78699999999986,27.0
0_2015,0.0002165038348415705,273.0,0.21398483572030327,0.33553500660501984,295.5239999999999,1.1634803149606294,2015,0,0.18695652173913047,-0.4502686171225344,0.12107765451664032,0.06587886722249015,1.4518424908424892,1.3121652173913032,1.2895044247787615,396.35299999999955,301.7979999999997,291.4280000000001,26.0
0_2016,0.0002488549279421431,254.0,0.21860095389507153,0.3428927680798005,372.78699999999975,1.35558909090909,2016,0,-0.06959706959706957,0.14942503500802173,0.037319762510602095,-0.10691683210767167,1.1634803149606294,1.4518424908424892,1.3121652173913032,295.5239999999999,396.35299999999955,301.7979999999997,34.0
0_2017,0.00020203672043410392,275.0,0.19626168224299065,0.322663252240717,364.37299999999993,1.445924603174603,2017,0,0.08267716535433078,-0.18813454045372202,0.07331698010357046,0.009360185250760322,1.35558909090909,1.1634803149606294,1.4518424908424892,372.78699999999975,295.5239999999999,396.35299999999955,22.0
0_2018,0.0002426742326129215,252.0,0.21343283582089553,0.35178351783517836,0.0,0.0,2018,0,-0.08363636363636362,0.20113923890420637,0.06500761808024369,-0.1486439817166073,1.445924603174603,1.35558909090909,1.1634803149606294,364.37299999999993,372.78699999999975,295.5239999999999,39.0
1_1996,0.0026207494043751353,27.0,0.23529411764705882,0.3389830508474576,0.0,0.0,1996,1,-0.8928571428571429,9.799454792365088,,,0.0,1.445924603174603,1.35558909090909,0.0,364.37299999999993,372.78699999999975,3.0
1_1997,0.004484069752196145,20.0,0.3185840707964602,0.43373493975903615,0.0,0.0,1997,1,-0.2592592592592593,0.7109876070983143,0.1802721088435375,-0.4395313681027968,0.0,0.0,1.445924603174603,0.0,0.0,364.37299999999993,2.0
1_1998,0.0021749865180073938,36.0,0.21487603305785125,0.3170731707317073,0.0,0.0,1998,1,0.8,-0.514952568045544,0.0835734870317002,0.7164265129682998,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1_1999,0.0014265973547410672,26.0,0.23776223776223776,0.3541666666666667,19.351999999999997,0.5691764705882352,1999,1,-0.2777777777777778,-0.3440891044933744,0.1914893617021276,-0.4692671394799054,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1_2000,0.003572114398794432,34.0,0.2611464968152866,0.40594059405940597,30.654,0.7476585365853659,2000,1,0.3076923076923077,1.5039401530663739,0.1004464285714286,0.2072458791208791,0.5691764705882352,0.0,0.0,19.351999999999997,0.0,0.0,5.0
1_2001,0.0006927683231376621,41.0,0.17964071856287425,0.2857142857142857,31.912000000000003,1.0637333333333334,2001,1,0.2058823529411764,-0.8060621117365481,0.08924949290060846,0.11663286004056794,0.7476585365853659,0.5691764705882352,0.0,30.654,19.351999999999997,0.0,0.0
1_2002,0.0025256549066072875,30.0,0.28804347826086957,0.4274193548387097,38.51400000000001,0.7266792452830191,2002,1,,,,,,,,,,,1.0
1_2003,0.0007658960770760264,53.0,0.2882882882882883,0.43537414965986393,47.73800000000001,0.7459062500000001,2003,1,0.7666666666666666,-0.696753473694134,0.21805792163543436,0.5486087450312322,0.7266792452830191,,,38.51400000000001,,,2.0
1_2004,0.0005807741999602464,64.0,0.2627450980392157,0.3641304347826087,48.10299999999999,0.7179552238805968,2004,1,0.2075471698113207,-0.2417062610145787,0.16083916083916083,0.046708008972159876,0.7459062500000001,0.7266792452830191,,47.73800000000001,38.51400000000001,,4.0
1_2005,0.0004713750090129064,67.0,0.2569444444444444,0.36097560975609755,55.87800000000001,0.7551081081081082,2005,1,0.046875,-0.188367856138975,0.17349397590361448,-0.12661897590361448,0.7179552238805968,0.7459062500000001,0.7266792452830191,48.10299999999999,47.73800000000001,38.51400000000001,1.0
1_2006,0.0006133464180569186,74.0,0.21580547112462006,0.33490566037735847,53.28500000000001,0.7504929577464791,2006,1,0.10447761194029859,0.3011856936185706,0.3613963039014374,-0.2569186919611388,0.7551081081081082,0.7179552238805968,0.7459062500000001,55.87800000000001,48.10299999999999,47.73800000000001,2.0
1_2007,0.0009502408045615542,71.0,0.2793733681462141,0.4246031746031746,108.04699999999995,1.0097850467289715,2007,1,-0.04054054054054057,0.5492726077571579,-0.13650075414781293,0.09596021360727236,0.7504929577464791,0.7551081081081082,0.7179552238805968,53.28500000000001,55.87800000000001,48.10299999999999,11.0
1_2008,0.00042361941007964876,107.0,0.24764150943396226,0.3710247349823322,105.63200000000002,1.0060190476190478,2008,1,0.5070422535211268,-0.5541978327534474,0.46113537117903936,0.045906882342087396,1.0097850467289715,0.7504929577464791,0.7551081081081082,108.04699999999995,53.28500000000001,55.87800000000001,6.0
1_2009,0.0003396250288982822,105.0,0.2546972860125261,0.3652694610778443,124.16799999999994,1.0177704918032782,2009,1,-0.01869158878504673,-0.19827793340624777,0.10579796772265393,-0.12448955650770066,1.0060190476190478,1.0097850467289715,0.7504929577464791,105.63200000000002,108.04699999999995,53.28500000000001,6.0
1_2010,0.00034414430784779327,122.0,0.2387218045112782,0.3587570621468927,123.91200000000003,0.975685039370079,2010,1,0.161904761904762,0.013306672256079954,0.09297297297297291,0.06893178893178908,1.0177704918032782,1.0060190476190478,1.0097850467289715,124.16799999999994,105.63200000000002,108.04699999999995,8.0
1_2011,0.00041479266602393,127.0,0.2239057239057239,0.3481675392670157,163.503,1.229345864661654,2011,1,0.040983606557376984,0.20528701642039882,0.185459940652819,-0.14447633409544203,0.975685039370079,1.0177704918032782,1.0060190476190478,123.91200000000003,124.16799999999994,105.63200000000002,10.0
1_2012,0.00037127199016267874,133.0,0.2378716744913928,0.36893203883495146,203.10100000000006,1.3361907894736846,2012,1,0.04724409448818889,-0.10492151724481191,0.052148518982060965,-0.004904424493872073,1.229345864661654,0.975685039370079,1.0177704918032782,163.503,123.91200000000003,124.16799999999994,10.0
1_2013,0.00031649430512366154,152.0,0.2644628099173554,0.4025157232704403,185.07499999999987,0.963932291666666,2013,1,0.1428571428571428,-0.14754058073439769,0.12093576526566219,0.021921377591480606,1.3361907894736846,1.229345864661654,0.975685039370079,203.10100000000006,163.503,123.91200000000003,11.0
1_2014,0.00026023719274063863,192.0,0.23737373737373738,0.3533834586466165,186.70899999999992,0.9931329787234038,2014,1,0.26315789473684204,-0.17775078878920736,0.11602405376724434,0.1471338409695977,0.963932291666666,1.3361907894736846,1.229345864661654,185.07499999999987,203.10100000000006,163.503,18.0
1_2015,0.00020718832832026753,188.0,0.22674418604651161,0.3391304347826087,212.91199999999998,1.0918564102564101,2015,1,-0.02083333333333337,-0.2038481274013797,0.12107765451664032,-0.1419109878499737,0.9931329787234038,0.963932291666666,1.3361907894736846,186.70899999999992,185.07499999999987,203.10100000000006,16.0
1_2016,0.00021649793090346668,195.0,0.2165948275862069,0.3441780821917808,241.90599999999995,1.203512437810945,2016,1,0.037234042553191404,0.04493304549862742,0.037319762510602095,-8.571995741069038e-05,1.0918564102564101,0.9931329787234038,0.963932291666666,212.91199999999998,186.70899999999992,185.07499999999987,12.0
1_2017,0.00018163475346082345,201.0,0.2,0.3288135593220339,231.01200000000006,1.1907835051546394,2017,1,0.03076923076923066,-0.16103238168215206,0.07331698010357046,-0.0425477493343398,1.203512437810945,1.0918564102564101,0.9931329787234038,241.90599999999995,212.91199999999998,186.70899999999992,21.0
1_2018,0.00024310513324592354,194.0,0.2101522842639594,0.3438538205980066,0.0,0.0,2018,1,-0.03482587064676612,0.33842851444373245,0.06500761808024369,-0.09983348872700981,1.1907835051546394,1.203512437810945,1.0918564102564101,231.01200000000006,241.90599999999995,212.91199999999998,24.0
2_1996,0.004106562703053931,15.0,0.22972972972972974,0.34,0.0,0.0,1996,2,-0.9226804123711341,15.89212666233485,,,0.0,1.1907835051546394,1.203512437810945,0.0,231.01200000000006,241.90599999999995,1.0
2_1997,0.0022212110227597007,17.0,0.2682926829268293,0.4074074074074074,0.0,0.0,1997,2,0.1333333333333333,-0.4591069993627881,0.1802721088435375,-0.0469387755102042,0.0,0.0,1.1907835051546394,0.0,0.0,231.01200000000006,0.0
2_1998,0.003585648898788481,22.0,0.28,0.417910447761194,0.0,0.0,1998,2,0.2941176470588236,0.6142765644722765,0.0835734870317002,0.2105441600271234,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2_1999,0.0014762312110472933,28.0,0.2743362831858407,0.38271604938271603,20.445000000000004,0.6595161290322582,1999,2,0.2727272727272727,-0.5882945450832952,0.1914893617021276,0.0812379110251451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_2000,0.0013895259904723317,31.0,0.24031007751937986,0.34444444444444444,18.211,0.5874516129032258,2000,2,0.1071428571428572,-0.058734173838154824,0.1004464285714286,0.006696428571428603,0.6595161290322582,0.0,0.0,20.445000000000004,0.0,0.0,3.0
2_2001,0.0014736360729185399,31.0,0.3128834355828221,0.45132743362831856,32.956,0.6461960784313726,2001,2,0.0,0.06053149277014769,0.08924949290060846,-0.08924949290060846,0.5874516129032258,0.6595161290322582,0.0,18.211,20.445000000000004,0.0,0.0
2_2002,0.000819547038034433,51.0,0.2914572864321608,0.4142857142857143,40.81599999999999,0.7037241379310343,2002,2,,,,,,,,,,,1.0
2_2003,0.0010312855783777039,58.0,0.28451882845188287,0.384180790960452,42.785999999999994,0.6292058823529411,2003,2,0.13725490196078427,0.2583604485364204,0.21805792163543436,-0.08080301967465009,0.7037241379310343,,,40.81599999999999,,,0.0
2_2004,0.0008256297585982949,68.0,0.27526132404181186,0.3853658536585366,40.757,0.5159113924050632,2004,2,0.17241379310344818,-0.1994169453071596,0.16083916083916083,0.011574632264287343,0.6292058823529411,0.7037241379310343,,42.785999999999994,40.81599999999999,,2.0
2_2005,0.0006171650461688986,79.0,0.2727272727272727,0.3950617283950617,55.59299999999999,0.5790937499999999,2005,2,0.16176470588235303,-0.2524917619046524,0.17349397590361448,-0.011729270021261451,0.5159113924050632,0.6292058823529411,0.7037241379310343,40.757,42.785999999999994,40.81599999999999,6.0
2_2006,0.0006852966709443648,96.0,0.25679012345679014,0.3727598566308244,37.25,0.3581730769230769,2006,2,0.21518987341772156,0.11039449689900405,0.3613963039014374,-0.14620643048371584,0.5790937499999999,0.5159113924050632,0.6292058823529411,55.59299999999999,40.757,42.785999999999994,1.0
2_2007,0.0005446047984135198,104.0,0.3004032258064516,0.4269340974212034,107.20699999999998,0.7195100671140938,2007,2,0.08333333333333326,-0.20530067997698898,-0.13650075414781293,0.2198340874811462,0.3581730769230769,0.5790937499999999,0.5159113924050632,37.25,55.59299999999999,40.757,5.0
2_2008,0.0004719608707984534,149.0,0.26837606837606837,0.3829268292682927,111.65200000000003,0.71115923566879,2008,2,0.4326923076923077,-0.1333883355906602,0.46113537117903936,-0.028443063486731646,0.7195100671140938,0.3581730769230769,0.5790937499999999,107.20699999999998,37.25,55.59299999999999,7.0
2_2009,0.0003247310707133146,157.0,0.22153846153846155,0.32,105.07999999999998,0.7297222222222222,2009,2,0.05369127516778516,-0.31195340375582103,0.10579796772265393,-0.05210669255486877,0.71115923566879,0.7195100671140938,0.3581730769230769,111.65200000000003,107.20699999999998,37.25,5.0
2_2010,0.0005240790545011971,144.0,0.2720105124835742,0.4074803149606299,139.2150000000001,0.6725362318840584,2010,2,-0.08280254777070062,0.6138863871263947,0.09297297297297291,-0.17577552074367353,0.7297222222222222,0.71115923566879,0.7195100671140938,105.07999999999998,111.65200000000003,107.20699999999998,4.0
2_2011,0.00027907634723989814,207.0,0.22248520710059172,0.34879406307977734,119.69199999999998,0.636659574468085,2011,2,0.4375,-0.46749188916638784,0.185459940652819,0.252040059347181,0.6725362318840584,0.7297222222222222,0.71115923566879,139.2150000000001,105.07999999999998,111.65200000000003,4.0
2_2012,0.0004798997216654271,188.0,0.2795031055900621,0.40601503759398494,179.0530000000001,0.6631592592592597,2012,2,-0.09178743961352653,0.7196001252406325,0.052148518982060965,-0.1439359585955875,0.636659574468085,0.6725362318840584,0.7297222222222222,119.69199999999998,139.2150000000001,105.07999999999998,15.0
2_2013,0.00021722299026065206,270.0,0.2543778801843318,0.3760217983651226,175.83499999999998,0.6370833333333332,2013,2,0.43617021276595747,-0.5473575406403466,0.12093576526566219,0.3152344475002953,0.6631592592592597,0.636659574468085,0.6725362318840584,179.0530000000001,119.69199999999998,139.2150000000001,9.0
2_2014,0.00029508363308532415,276.0,0.25079617834394907,0.36585365853658536,220.12500000000003,0.6988095238095239,2014,2,0.022222222222222143,0.3584364745704167,0.11602405376724434,-0.0938018315450222,0.6370833333333332,0.6631592592592597,0.636659574468085,175.83499999999998,179.0530000000001,119.69199999999998,13.0
2_2015,0.000232090520472038,315.0,0.22411242603550297,0.3389261744966443,234.71500000000023,0.7746369636963704,2015,2,0.14130434782608692,-0.21347545424544612,0.12107765451664032,0.020226693309446597,0.6988095238095239,0.6370833333333332,0.6631592592592597,220.12500000000003,175.83499999999998,179.0530000000001,8.0
2_2016,0.00021906852738814108,303.0,0.22192513368983957,0.3494736842105263,215.10000000000014,0.6478915662650606,2016,2,-0.03809523809523807,-0.056107388864534924,0.037319762510602095,-0.07541500060584017,0.7746369636963704,0.6988095238095239,0.6370833333333332,234.71500000000023,220.12500000000003,175.83499999999998,19.0
2_2017,0.00022510319282034106,332.0,0.22601010101010102,0.3605236656596173,249.7650000000001,0.6976675977653634,2017,2,0.09570957095709565,0.02754693019644905,0.07331698010357046,0.022392590853525185,0.6478915662650606,0.7746369636963704,0.6988095238095239,215.10000000000014,234.71500000000023,220.12500000000003,15.0
2_2018,0.00021692945577054311,358.0,0.21723518850987433,0.34472934472934474,0.0,0.0,2018,2,0.07831325301204828,-0.03631106670406736,0.06500761808024369,0.013305634931804589,0.6976675977653634,0.6478915662650606,0.7746369636963704,249.7650000000001,215.10000000000014,234.71500000000023,22.0
3_1996,0.006847603338831409,13.0,0.3333333333333333,0.4146341463414634,0.0,0.0,1996,3,-0.9636871508379888,30.56603751440032,,,0.0,0.6976675977653634,0.6478915662650606,0.0,249.7650000000001,215.10000000000014,3.0
3_1997,0.005599302786540078,17.0,0.34782608695652173,0.4444444444444444,0.0,0.0,1997,3,0.3076923076923077,-0.18229743904885143,0.1802721088435375,0.1274201988487702,0.0,0.0,0.6976675977653634,0.0,0.0,249.7650000000001,1.0
3_1998,0.0024754887628403795,24.0,0.2441860465116279,0.3387096774193548,0.0,0.0,1998,3,0.41176470588235303,-0.5578933918717345,0.0835734870317002,0.32819121885065283,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3_1999,0.0031626542832701946,21.0,0.24242424242424243,0.34782608695652173,30.473000000000006,1.2697083333333337,1999,3,-0.125,0.2775878164929986,0.1914893617021276,-0.3164893617021276,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3_2000,0.002280104760323872,24.0,0.22522522522522523,0.35714285714285715,17.328,0.69312,2000,3,0.1428571428571428,-0.2790534291448902,0.1004464285714286,0.04241071428571419,1.2697083333333337,0.0,0.0,30.473000000000006,0.0,0.0,2.0
3_2001,0.004444668667860656,25.0,0.27692307692307694,0.4235294117647059,37.470000000000006,1.0408333333333335,2001,3,0.04166666666666674,0.9493265156945352,0.08924949290060846,-0.04758282623394172,0.69312,1.2697083333333337,0.0,17.328,30.473000000000006,0.0,7.0
3_2002,0.0028009869279710547,36.0,0.2638888888888889,0.3838383838383838,40.309000000000005,1.060763157894737,2002,3,,,,,,,,,,,7.0
3_2003,0.0026566727764685345,38.0,0.33513513513513515,0.45588235294117646,69.57799999999999,1.1222258064516126,2003,3,0.05555555555555558,-0.05152260799983699,0.21805792163543436,-0.16250236607987878,1.060763157894737,,,40.309000000000005,,,5.0
3_2004,0.001516987638518021,62.0,0.34285714285714286,0.45652173913043476,65.08,0.7747619047619048,2004,3,0.631578947368421,-0.4289896550471962,0.16083916083916083,0.4707397865292602,1.1222258064516126,1.060763157894737,,69.57799999999999,40.309000000000005,,10.0
3_2005,0.0010153554175293307,84.0,0.34718100890207715,0.4448669201520912,135.11000000000007,1.1547863247863255,2005,3,0.35483870967741926,-0.3306765383261435,0.17349397590361448,0.18134473377380478,0.7747619047619048,1.1222258064516126,1.060763157894737,65.08,69.57799999999999,40.309000000000005,8.0
3_2006,0.0009087688939730912,117.0,0.2379746835443038,0.31864406779661014,79.647,0.8473085106382979,2006,3,0.3928571428571428,-0.10497459482276361,0.3613963039014374,0.031460838955705395,1.1547863247863255,0.7747619047619048,1.1222258064516126,135.11000000000007,65.08,69.57799999999999,12.0
3_2007,0.0009552670297876351,94.0,0.28024193548387094,0.39714285714285713,146.94399999999996,1.0571510791366903,2007,3,-0.19658119658119655,0.05116607327002187,-0.13650075414781293,-0.06008044243338362,0.8473085106382979,1.1547863247863255,0.7747619047619048,79.647,135.11000000000007,65.08,17.0
3_2008,0.000742532978916265,139.0,0.28618421052631576,0.4275184275184275,194.47499999999997,1.1176724137931033,2008,3,0.47872340425531923,-0.22269589992932448,0.46113537117903936,0.017588033076279874,1.0571510791366903,0.8473085106382979,1.1547863247863255,146.94399999999996,79.647,135.11000000000007,16.0
3_2009,0.0006623642249674919,174.0,0.2681564245810056,0.3801980198019802,277.23999999999984,1.4439583333333326,2009,3,0.2517985611510791,-0.10796659034024347,0.10579796772265393,0.1460005934284252,1.1176724137931033,1.0571510791366903,0.8473085106382979,194.47499999999997,146.94399999999996,79.647,19.0
3_2010,0.0006485960337249522,192.0,0.2834928229665072,0.39303482587064675,368.431,1.554561181434599,2010,3,0.10344827586206895,-0.02078643550414494,0.09297297297297291,0.010475302889096039,1.4439583333333326,1.1176724137931033,1.0571510791366903,277.23999999999984,194.47499999999997,146.94399999999996,33.0
3_2011,0.000485561880239667,237.0,0.2689655172413793,0.3888888888888889,355.7820000000001,1.3032307692307696,2011,3,0.234375,-0.2513647093229412,0.185459940652819,0.04891505934718099,1.554561181434599,1.4439583333333326,1.1176724137931033,368.431,277.23999999999984,194.47499999999997,19.0
3_2012,0.0004607712266606665,273.0,0.25446808510638297,0.3695920889987639,433.80600000000015,1.4508561872909704,2012,3,0.1518987341772151,-0.05105560091900985,0.052148518982060965,0.09975021519515415,1.3032307692307696,1.554561181434599,1.4439583333333326,355.7820000000001,368.431,277.23999999999984,26.0
